generating 32-bit unsigned random numbers.
1474748282 
4083391496 4286191514 4161392617 2179669117 1424080408 
1329182467 54615663 2266336554 1065353216 1065353216 
1065353216 1065353216 2114256989 3807662375 1794300351 
231748445 4200621369 3658069959 1226389563 1025923626 
3616278834 3735123897 4202528276 1254315303 1082130432 
1132462080 1082130432 1132462080 54875093 2491600709 
14638971 1313691898 1456969165 1968324812 639567948 
3443281120 619736406 393497874 3594043667 4284132867 
0 1123942396 1123942396 0 877874049 
2582186521 2024811371 775968805 2743685286 624573493 
2616592787 3682764468 2653036271 899668469 2288421709 
3219165864 0 0 0 0 
1845104882 299331751 1342174672 1536845654 1169616462 
45626821 3193972083 1306432889 2839700842 3578892090 
3939716136 2614791706 1065353216 1065353216 1065353216 
1065353216 3545828481 2025201092 3609183309 1314760226 
147323512 3861147894 3965839167 1814268122 160194281 
2103207246 907563137 1453468454 0 1111490560 
0 1111490560 1147715584 1150361600 1147715584 
1150361600 1663576006 2228224799 2738659733 4058666878 
1909140785 1499465438 4164770178 2546233653 1141899264 
1141112832 1141112832 1141899264 1135771648 1137147903 
1137147903 1135771648 2011203643 2484248609 336244779 
900898427 300248340 18953181 3545159234 1635909771 
0 0 0 0 0 
0 0 0 2003316391 4240511115 
3059431824 1972616026 869552662 3451790882 1877891839 
160038148 1065353216 1065353216 1065353216 1065353216 
1065353216 1065353216 1065353216 1065353216 3281030685 
1189214533 150999116 3340073547 3346573994 2431245870 
2061572686 4258486114 1109917696 1127415808 1109917696 
1127415808 0 1130758146 0 1130758146 
3605558682 973535729 1759555464 3746846670 235464557 
3457697453 3253944289 208488665 1099431936 1065353216 
1065353216 1099431936 1082130432 1110966264 1110966264 
1082130432 4156538653 2686362257 1560244001 3451786819 
83482970 359329362 1155531968 21634632 1136492544 
1140916224 1136492544 1140916224 0 0 
0 0 3534698206 1315458077 704417413 
232446710 1463160924 2573422934 1707673805 3743385729 
1128136704 1129185280 1129185280 1128136704 1065353216 
1065353216 1065353216 1065353216 892810853 2350359581 
2639675473 2594434596 1493098325 629250753 2931376698 
1644008175 0 0 0 0 
1143586816 1147715584 1143586816 1147715584 3483591426 
2116858412 2959657466 329539041 1548000373 2659276745 
185402538 2903005089 1065353216 1065353216 1065353216 
1065353216 1136263168 1138098175 1138098175 1136263168 
1387530147 1687443311 2916729661 2956406537 3688672039 
3537645289 3732298918 2970184264 1142702080 1143930880 
1142702080 1143930880 0 0 0 
generated numbers: 1536
Processing time: 0.110000 (ms)
Samples per second: 1.396364E+07 
